topic,level,more,less,max_kappa,n_nonzero
17,Liberal,hamby molten repented peripherally mid-sized gorka malaise pda anti-incumbency anthropologists trunks ortiz mondale searchlight orienting,episode members east western currently thursday century text wrote comments joining consideration funny weekend history,7.00462455169145,1780
17,Conservative,undercounted kornacki afton yvonne dislodged tully halperin spanish-speaking johnstown landrieu mendoza baldwin teixeira shapeshifter inclusiveness,quote words steve planet crisis killing attack brian conclusion sends language lie defend allow use,7.58554862800057,1873
18,Liberal,majeure lloyd's emirate seafarers yanis kuwaitis gcc shippers transacting toothbrushes lydia hydrocarbons sal seaborne ache,words process incredible agree says article here's millions truly certainly david attack let watch love,8.57059862562053,998
18,Conservative,wahhabism ammonia lead-off aziz donro cuba's democratic-controlled lufthansa irgc's trump-iran turbine reshoring inconclusive accorded mid-sized,worked policy somebody population came example terrible ridiculous specific fact place political found public reason,8.60814263222263,933
19,Liberal,vulcan don bilderberg jared antichrist habitats kushner madeira palantir hardcover karp wright's corrupts propublica outpace,question a- a-hole a-list a-plus a-team a's aa aaa aaron aaron's aarp ab aba aback,8.90256403107254,212
19,Conservative,garber endowments chao decade's actblue eggers sars american-ness o'reilly poached egger drilldown prescient seamus donations,yes best i'll able months public i've wants sure a- a-hole a-list a-plus a-team a's,8.95993339649104,564
20,Liberal,guillen wastewater lefebvre hochul's politico's emission siegel turbine tamburino bykalis malaykul nirmal lafave malaykal greenlight,remember apparently best amazing friends mr let better americans knows couldn't named hell weak use,8.10370804989654,1343
20,Conservative,denali mckinley geologic sundae liverpool graphene hess broadband ghostbusters voltage bottleneck curveball species rockies weaning,interesting week a- a-hole a-list a-plus a-team a's aa aaa aaron aaron's aarp ab aba,8.61274695834522,356
21,Liberal,wildcard buckley buckley's modernist jaguar barone whinging unfucking adriatic grammar tibet curley afrikaners isaacson bakers,important according provide threat kinds quote watch watching understand thinking apparently find report laws especially,8.98695199625169,988
21,Conservative,lachlan diana lowe ulster minh chi pows gans braced kemi buf oriental moseley's wellington rotherham,week let's announced mark job washington work months morning month tell americans elected conversation decisions,8.81393873132465,1710
22,Liberal,ruble snegovaya retaken kupyansk centralised replenishment presupposition liana dara reconstitution tusk demobilized counterproposal kaufman jimena,wing shared weekend morning service wednesday world fun star monday random says facts cnn post,7.93992657339104,2073
22,Conservative,ankara barges excursions mcfaul khrushchev pdb eastward obama-biden stavridis recep warheads ironed camels landings army-navy,political happening fix laws example problem argument worked reason guess level episode friend worse goes,7.55722710889537,2047
23,Liberal,dasher devlin lumen chickening whataburger messerly aspirin narcissists clotting nasal physician's skeletal spurconish gupta disinhibited,work specific program opportunity effective gap set foundation stop directly send listeners ryan lives sent,7.68628305029916,1497
23,Conservative,personalist caddy scaramucci katty gaetz lewandowski humphries mika phil's realtor slurred facilitator savaged larping righteously,especially problem ultimately means recently nation we've according blue significant overall far year approach national,7.47369401816887,1218
24,Liberal,niggas jafar rapaport bowen chalamet malek unshaken valenciano mattosowski quirked stereo osowski reasters lgbtqtia wichler,program today conversation claim april change david days question thanks small control message opportunity working,7.92527067386168,2793
24,Conservative,biscuits pee-pee hayley panda gallivanting dangerfield clc ck's enright virtuosic boobies skeptocrat bosnick chromosome skeptocrats,impact laws goal southern era western created young especially according built politics perspective tied margaret,7.49808842754968,3298
25,Liberal,importers avocados walmart's scrooge heitkamp protectionists thyself blake's brex protectionist rampell reshoring reciprocal dosage nutlick,episode challenge team night dan member senior home mark fight support potential example calling incredible,7.25313968790024,1512
25,Conservative,bondholders kashkari grossman eco-friendly risk-free rye imf mortgage-backed rohit dislocation geoeconomics stilted ludwig ache downsize,live apparently audience boy person days find watching i've clearly hours yes nice amazing career,7.82958494667842,1373
26,Liberal,wexler napalm giuffre's poached professorship lewd dildo nipple transcribed myrie undercounted evasive commissary emmett lemay,live chaos works heart greater east level laws negative argument soft rising worry central shift,7.95327622600326,2192
26,Conservative,diddy's paedophile marge adrenochrome x-files grape flunky combs corcoran stairwell jericho spacey fingered erection bothersome,areas david domestic language tend action process needs recent rules effort announced ryan team security,8.51677590859292,2023
27,Liberal,kings moisture hayward clipboard alcatraz irwin brownie chenoweth unaccounted almond o'hare roadway watt lester leah's,complicated old called career they've particular wanted fact article sense knows times extent course i'd,8.30196975392964,1267
27,Conservative,ghana gut-wrenching wastewater precipitation watchman weijia una barton godzilla groundwater charred skid pouches jolie fredericksburg,announced found groups americans effort remember challenge base likely narrative path decision brand announcement feel,8.42054071556573,905
28,Liberal,decarbonizing onshoring clover industrialize imf walden kyoto chilean arab-israeli extractive multilateral wto allende graphite teleport,hear language year times bad mr yesterday they've supposed worked ago watching check story hell,8.50058822545409,1429
28,Conservative,afrikaner zuma afrikaners bantu cape boer juniper siting farm djibouti nomadic post-industrial zulu rhodesia colonizers,quote stop second officials a- a-hole a-list a-plus a-team a's aa aaa aaron aaron's aarp,9.34082463136474,578
29,Liberal,sash sadiq gimp township crump pavarotti erika finch clipboard surname henyard kcrha hanyard squim mare,moment important weekend thanks decades especially threat watching opportunity useful national help fighting ready ryan,8.63809313107216,2337
29,Conservative,crime's carjackings dari croman ridership lander needling commemorates greenstone mcnichols callinan radke sociopolitical redmond hochul's,mark sunday knew correct second likely possible best days interest repeatedly friend hit strong ability,8.59363498930586,1406
30,Liberal,bigfoot sasquatch willa broads cinemas flogging bessette evian unfunny nobu lorne lofthouse frankie calderon seska,agenda effective weak perspective wrong process factor clearly decades issues previously shouldn't private tend millions,8.65033149458099,2058
30,Conservative,moana hackman rami vonnegut burglar mamaw middletown theatrically squeaking miniseries irving deadpool rom-coms cgi boies,here's morning question friday month they'll large announced crisis today including members member means wednesday,8.36035159979619,2210
31,Liberal,kernan oleksik rogan's etymology unaliving mika brzezinski brewer hostin manchin paddleboard amos savaged peeing pent,potential quote example stop human try use announced specific a- a-hole a-list a-plus a-team a's,8.25235195251111,769
31,Conservative,armstrong tedious huntington comedic ticketmaster pardoning thepipeyardinc vin getty flaherty self-incrimination irishman depressing clipboard rehoboth,bit course fix haven't huge interesting domestic called issues they've path help thinking problem ways,8.16887658758427,899
32,Liberal,gunk todos tay gracias te lieb pero ashtray porque lista espa reggaeton tengo todo torque,apparently wants reason article mark david extent says aware large build anybody away fact according,8.77338267067058,1792
32,Conservative,nightlife marley underclass blossoming nightclubs prune jovi amos pavarotti broadway clubs highland lizzo camper espresso,able important happening reporting changes decades months needs believe we've person question agree exactly based,9.11403506874656,1265
33,Liberal,fogel yossi alam kotkin manab lite pars decommission boies barris scahill dislodged thyroid leila not-so-small,podcast foundation rich benefit helpful historically thanks context relationship traditional daniel areas certain job interviewed,7.65232912909561,2057
33,Conservative,quds vahidi frigate mullah ir counterproposal sensor lead-off evian clerisy iea frictions rosenthal cakewalk drucker,somebody episode crazy narrative wearing who's strange anymore ryan story crime goes sorry stephen save,7.67935813504563,2595
34,Liberal,grams avocado chicken smoky qi parmesan wraps packet grooms brows probiotics croutons well-equipped foods fun-filled,able remember months course seeing happening leaders wednesday huge seen announced policies place saw especially,9.50475847181523,992
34,Conservative,egomaniacal july's frankie injections seb focosia justnews jtn discipline's promo risk-free bicentennial powdered poso amac,interesting somebody article terms theory weird useful factor question old cetera person groups position et,7.68855680195361,905
35,Liberal,doherty ogles corker mckinnon gosar savaged politicswarroom afton politicon ludwig dfl bittersweet galatians landfill carville,including concern days useful perspective type wrote group concerns role process repeatedly continued ideas operations,8.31051647499398,1686
35,Conservative,shani lasher estevez shanna mcmorrow kassar galrain adriano nigut espiat alam dolezal colton readback tia,worse hours population insane says friends realize problem hell sad terrible kinds share they'll bad,8.02668710153122,1771
36,Liberal,redneck boobies sneeko bryce thoreau fishback tanky shrimp tormenting noodles valerie brandt westman underprivileged tock,question lead necessary focus allow repeatedly continued changes effort control action process discussion questions development,7.76733665652402,2442
36,Conservative,homeschooled quivering scarlett braving jojo strong-willed corporal markle spank whoosh whataburger homeschool burmese camille arcade,complicated scott traditional rules millions board rise weekend forth large red gates interest america steve,7.83881190871069,2212
37,Liberal,sudanese chad's anwar burkina ethiopian seb khartoum kordofan faso evo burmese thurston sudan eritrea khmer,here's wrote fine i'll names touch john watching ultimately environment ask words system michael makes,8.32435969952667,1508
37,Conservative,scheinbaum's ortega eamon yemen's yvonne gut-wrenching tropics processors bounties brazil's guerrero screwworm fragmenting skipper almond,sense blue difference tell believe episode scott community tend needs common worse yes tried sign,8.82993538683359,1120
38,Liberal,villanova bins conquests homogeneity romans shone legions assemblies mistresses xavier byzantines suarez crusades dreher fordham,watch we've making change day feel term question what's days able decisions months told agenda,9.55091054411248,1116
38,Conservative,four-part adulterers todos rationalism magisterial gareth sacramental schismatic lefebvre conciliar headings abrahamic novus ordo abstractly,apparently control attack washington domestic paid including podcast protect november political worse certainly insane you've,8.27497375292727,1805
39,Liberal,varma bookkeeping corporatists glazer syndication studiously fiorentini actblue autopsy marjorie clippers talkers brie amfest greene's,tend leader announced high course hours story public community depends words concern term experience image,8.18050674441888,1238
39,Conservative,fuentes tanky duopoly destiny's intuitions sneeko titty griper hummus fuentes' yiannopoulos subreddit jubilee sargon rogan's,john americans forward decisions plan number waiting called working week major com year amazing changes,8.05762131832005,1477
40,Liberal,amino sowell hubble coronaviruses proximal telescopes cosmological acids sars-cov- equations psilocybin sagan materialistic newton's telos,people's watch heard forward crisis day talked continued able americans official week somebody context hear,8.54451055748653,1532
40,Conservative,tolstoy excavated fossilized fossils geological rediscovery nature's bestsellers branching shale professorship bray hazoni specimens extravagance,stop worse problem statement they'll says washington far population force let allow numbers evil order,8.40513510043789,1341
41,Liberal,espaillat al-sayed espiat adriano lasher mcmorrow reynoso brad's avila el-sayed jeff's lander replicable eagleman schumer's,tend reported changes social reporting told rid they'll use remember lots benefit useful says terms,8.46650739282141,1774
41,Conservative,rcp walworth wallworth bevin carl democratic-controlled sirius zachariah inslee numbersgamepodcast broadview kotech gage carl's dudley,bad directly ultimately america specifically months die th crisis necessary majority scale minutes additional brian,8.29238465922449,1179
42,Liberal,zhou orville tpp stavridis kuomintang overflight wellbeing russia-china boies yen transactionalism shinzo korea's hanoi damocles,reporting terrible sunday morning everybody told friday apparently shared thursday silence according cause created horrible,7.94104826312491,1580
42,Conservative,sustainment peloponnesian two-star processors nepal vivendi ground-based hochul's cutters wastewater deindustrialization radars graphite bessett nuclear-powered,process wrote announced gets better work word find moment washington days you've question thought interested,8.52218783664715,1036
43,Liberal,minting cuban-american cubans fidel havana norris uno padilla derrick mexico walt's assassin's ap's exiles descends,level called certain bit massive lots best getting gets super stop comes seen hours a-,7.88700234628469,188
43,Conservative,stitt send-off winery kennett kinnett ilhan omar cutters ecuadorian galveston somalia omar's goobers souped clay's,they've went day week days saw control use bad change somebody able thought remember knew,8.78183700860847,468
44,Liberal,holder's democratic-controlled tabulation cd suhas collier burdening tampered lippman sterilizing overruling willis's singham missouri's cleta,fun etc language west western huge activities core who's home program central skeptical yes feeling,7.884349234633,1546
44,Conservative,reapportionment meares curiae stile measurably alienates tobias non-resident zealously beautifying doherty bethel s-h-a-w-n jude bowes,focus attack worse couldn't defend response started saw activity i've thought firm went figure wants,7.88462879687913,1018
45,Liberal,lulu poop's bedrooms reindeer perimenopause yamanika comorbidities disgraceland juliana bookkeeping twitching delulu erection bracelets clinicians,leadership incredible effort action concern remember term kill amazing largely numbers article adam easy thinking,8.38763981762021,1970
45,Conservative,incels gossiping pilates premarital cinemas boyfriend's chimpanzees sterilizing mckinnon procreation faust lila bly replicable spanish-speaking,scott yesterday policy america's millions america political americans event zero record letter david killed approach,8.24127813287869,2295
46,Liberal,binge-worthy laugh-out-loud sourcebook's sourcebooks maren arab-american rom-coms gibbs kornacki boozy liason erection dewine wikileaks pennsylvanians,described washington consequences supposed based solution private charge public created land aware lack weren't particular,7.72834162877689,1770
46,Conservative,beryl doreen benji misstated shay tarlow carly hostin jbl's newland finnegan pouches weijia j-lo grossman,officials west goal threats places smaller steve michael planet shared interest safety ryan warning seeing,8.19227724193426,1867
47,Liberal,refreshers neon vegas gottlieb whoosh effortless cipher fremont full-throttle n' caffeine curated curveball teary zipline,able yesterday allow nation language announced forward worse continue weekend needs fast examples second worst,9.07567086809335,1464
47,Conservative,tentacle lula bolsonaro overthrew unesco supranational basel eagleman paperclip jair d's rothschild's cimarella amuse wikileaks,somebody bad high job terms sense number talked heard issues podcast fine anybody lots leadership,8.71610434274224,1511
48,Liberal,gab chatters gabfest two-fourths tully bazelon aidan plotz rupert's nolan's byrne tasha dickerson lindell dante,political terms seeing level we've politically officials term control issues language elected push perspective interest,9.1808465193474,1588
48,Conservative,robeson mace's mcveigh beaufort solicitor's henri lieber wrap-up tiffany tiffany's horry rj browning dylan's mullins,washington lots idea fine says i'll shouldn't traditional feel terrible today kinds opinion listeners old,8.50389376510015,2155
49,Liberal,tpm vpns non-original snapshots robbie's newhouse quaker barone masha kafka theatrically anti-system wrap-up ested vpn,announced trip defense john apparently including remains leading potential board forward american progress continues opposition,7.83485799276911,1264
49,Conservative,unsubscribe pinocchios gannett coppins bly camille flaherty heterodox disbarment irrelevance tangle's theses detested kissin ezra,human death fast protect member stop greatest allow field wednesday million hell life we've help,8.10426393958334,1415
50,Liberal,receptors midlands leroy screwworm tallow detested rodents oneskin methamphetamine wastewater coli cantwell edelman salvageable abortions,john central factor he'll sign events evil episode they'll involved times looking clearly relevant story,8.07997085225038,1556
50,Conservative,thyroid coronaviruses pathogen anesthesiologist biolabs amino proximal adderall markups medicinal vaers clotting myocarditis butthole comorbidities,washington love language weak political miss left watch tough referring official standing friday chaos social,8.200883229312,2233
51,Liberal,specimens tko kik countdown moana berra ithaca adler elsa rosenthal runner-up luka dunning-kruger bmx boomin,terms control happening able narrative community ways broader bit we've useful board position focus impact,8.65193786220388,2667
51,Conservative,quints cashmere q-u-i-n-c-e quince qb mousetrap knob stadia smirconish squeaking wardrobe mingling marveling pumpkin non-scientific,office charge worse stop quote killed wrote says domestic death simply kill report likely works,8.70835572106419,2031
52,Liberal,non-compete afl-cio frances soybean iww anti-union unionism slavers sitcoms anti-monopoly johnstown hussain pro-union fletcher cooperatives,mr question months year sounds elected true sorry response bit human wants yes asked guess,8.42096519351396,845
52,Conservative,humboldt dfl nativist truckers lulu migration waiters royce e-verify inflow assimilation robotics camila bacha miami's,kill leaders today public washington interest ready role strategy reported quote somebody evil knew ways,8.2148706993649,963
53,Liberal,seacoat dilley nosferatu anti-genocide delaney roughing hattiesburg postmodernist geo gulags draper liberia blitzer minting afrikaners,dan mark versus summer washington best respond control leadership board behavior main job problems thanks,7.86071679601134,1534
53,Conservative,hussain rojas malusian giggly girlie bustillo pero overstays kotkin cdl rwandan latifah pluralist pacheco dangerfield,private lots huge idea real political brand mind straight interested examples entirely possible western trust,8.25690066190423,1529
54,Liberal,decriminalization expound feng rent-stabilized gothamist constants classist ritz redlining myrie gentrification fordham wraparound patties tutors,american washington americans stop group wouldn't fun bad wants base thought career friday crazy facts,8.34951748418513,1359
54,Conservative,hamer gravel gowanus kotkin government-run realtor urbanization clipboard sheffield sell-by lumber mid-sized irwin non-compete refinancing,mark here's yesterday questions context attack term report response david according members phone turned stand,8.20383180516675,1416
55,Liberal,occupier airdrops palestinians' ghf bantu huckabee's asa coroner's zachariah masada knesset yuval el-sheikh flotillas unrwa,kinds versus factor strong answer somebody running agree happy everybody sure run interested lots you've,8.62709667524247,1720
55,Conservative,allahu ramadan eritrea morandi comanche akbar abdullah vivendi lang bakr sharia ugandan dearborn quran jihadis,announced terms we've sense month level bit program incredible process special based announcement months better,8.57935618265015,1317
56,Liberal,costello burglar baldoni's solis johnston jbl's jarrett bovino's kuby malas first-degree gutierrez no-knock chong camila,interesting question argument guess issue cetera thinking versus et problem bit gets interest places remember,8.10312571233254,2890
56,Conservative,losey westman columbine stairwell mpd hibbs cartridge vin mauser sikh cullen rib comparatore blackwell unlicensed,american million announced scott concerns west change east friend administration john powerful trump's washington significant,7.87432364263098,2150
57,Liberal,installers iso solar thermostats puc kraken batteries monopolist pjm ev bidirectional plug-in watt vpps vpp,americans friend somebody reporting washington politics believe truth leaders story including living thursday america office,8.42985935843625,1960
57,Conservative,dre osteen brands ministry's maren stars granddad faraday barone forsyth liters groundwater migrations companionship shawnee,agree better difference yes thinking term view i've a- a-hole a-list a-plus a-team a's aa,8.86958515596869,532
58,Liberal,donro multipolarity havel asla strangulation stefan bryn hemispheric pooling anatole asa universalist nss nds formulations,everybody weeks remember knows they'll talked event months special hurt who's anybody took they've hear,8.14359937787319,1442
58,Conservative,yugoslavia karzai tonkin borges quagmires warmongers innovated counterinsurgency hiroshima aggressors forlorn disordered pullout faso pro-russia,ryan program fine provide place washington episode mr outside interesting key friend i'll today common,8.1993262723361,820
59,Liberal,refuel typhoon decoys adversary's salvos hotlines watchword dual-use gotti interceptor unsanctioned feasibility broadband proliferated realign,week thought yes months bit a- a-hole a-list a-plus a-team a's aa aaa aaron aaron's,8.00026398757222,453
59,Conservative,module plutonium telescopes dca astronomy habitats send-off asteroids uap uncrewed avi jupiter equator interstellar observatory,elected fight feel community decisions officials let's language wrong terms mark moment happening members attack,9.12868341863558,791
60,Liberal,mpd goldsmith phil's nspm breyer marylanders rasputin deirdre pritzker lamonica crime's skye trumpified broadview heitkamp,story year left age change politics morning influence killed later named decade base shot return,8.09242043647555,1201
60,Conservative,npr juana npr's mays shortwave nds anti-violence tamara leila hustlers liason sr faldin detrow ordonez,mark remember problem believe let's somebody i've bad community anybody real yes reason watch they've,8.52390191995024,1377
61,Liberal,godzilla brinkema lead-off beaters hedgeseth skullduggery skadden airy hooligans plumb schiff's enrico shiva gannett feng,particularly summer problems deep thinking living path suddenly night culture theory sick national opening thought,8.15518408967193,1187
61,Conservative,lippman klan ku holder's boesberg klux braced arabella nara erection paulo disinfecting ogles notary luke's,able means fix provide example somebody perspective friday policies public morning they'll bit numbers certainly,8.89440909411144,1190
62,Liberal,beckham magnus quebec audios monaco's beautifying ottawa ambassadorship messi yeti awoken palliative canada's bosnia fingerprinted,extent terms issue person issues change better wrote tend seen fight question ask started saw,9.10676096967135,860
62,Conservative,buc-ee's marveling frances premieres tributes mariel multilateral leverages grooves blondie detested unionism hirono skier watt,knew a- a-hole a-list a-plus a-team a's aa aaa aaron aaron's aarp ab aba aback,8.68476466359042,649
63,Liberal,mortgage-backed rohit refinancing argentine schwab argentina's insurer overdraft bondholders repayment vpn witkoff's peso burdening emoluments,tend change attack different coming shut interesting day protect waiting believe direction blue needs tell,8.12909080247371,1548
63,Conservative,ubs bullion iras minting delphi unlicensed unilateralism joby pennies mydigitalmoney bitcoiners maxing coconuts hilary retailer,quote friday thursday according including administration reporting weekend recall sorry apparently week continued daily written,8.5205610655872,1822
64,Liberal,socom mccallum sikhs teixeira janessa t- uas randos techs doormat repose jags uav sustainment army-navy,fact complicated elected yes tried words let's scott official hell quote john problem happened michael,8.35733023230299,1644
64,Conservative,stavridis souped jos enrique wraparound sinise fransve theistic monterey kyoto firemen polymath nicole's villanova oaks,certainly change significant likely yesterday majority reported making allow what's truly week means system agree,8.050841912017,1521
65,Liberal,ridership sonoma moorhead homeschool cavaliers hostin teachers' floridian belfer hans-j rg pupil doggy pre-k iras,question john somebody useful moment interested exactly sense says thank mind nice phone based learned,8.00603296703475,1081
65,Conservative,ebt millionaire's dispersal alchemy needy larslarson hey-lars larson lars trailblazers kotech refundable kotek oregonians kickbacks,left weekend kill leaders places chaos central sunday ideas language lives lead southern wednesday leadership,8.01128520226787,1331
66,Liberal,hammock wayfair spock nourish decoder gb cottonweave nilay w-a-y-f-a-i-r maxing frazier raiklin cartoonist shopify bestsellers,population massive base local quote currently governments system sources numbers independent stop article argument potential,8.15171759939494,2131
66,Conservative,electron spatial particle mindfulness prefrontal einstein's relativity psychedelic galaxies multiverse formulations universes quantum cosmological cosmology,wednesday private mark plan political here's week west willing greatest november announcement letter record scott,8.27809277476849,2996
67,Liberal,qed fossilized jeremiah sorrows excavated machismo government-run bolsheviks enlargement schaefer palliative dostoevsky shelled rediscovery underclass,apparently potential able job months team statement person places november actual risk insane clear somebody,8.4764166564772,1137
67,Conservative,khmer brandt laird vietnam's personages rouge ford's glazer ddr romania's hinckley hanoi parodies segregationist sundry,quote change here's share story conversation yes tell away protect majority let's working stop says,8.7048221329845,1434
68,Liberal,drucker ugandan bibi ori anti-genocide pro-israel bibi's american-israeli aipac israeli-american bds yair heathrow uncommitted likud,mark according works hours article sunday morning quote days smaller fight friday high write amazing,8.19578415154636,959
68,Conservative,serbs sarajevo republika srpska wfp el-sheikh guterres sharm ghf reconfiguration nspm belgrade woods' luka airdrops,let's john left wants use base knew insane evil best making kill year reason a-,9.17656463168576,903
69,Liberal,pluralist horace post-liberal procreation reversion abstractly spatial whinging liberalism norms thucydides rationalism passivity post-liberalism intrinsically,went sent million called watch told march later red knew heard notes took gave ready,7.82831799563338,873
69,Conservative,gramsci interchangeably proletariat lenin marxists marxism falun bolshevik rapporteur socialism zhou whiteout transplant trotsky gong,questions quote community issues making public terms we've conversation lots perspective provide certainly specific interesting,8.66110345175817,639
70,Liberal,cbo's stansbury swingy budweiser shitless adelita counterproposal disenfranchises lantern irishman jeff's bernardino marveling slotkin jayapal,june relationship kinds interesting stories ben podcast fascinating story cetera north mentioned et experience particular,7.10036666054645,1595
70,Conservative,brez corker mariana fez rosenthal mansfield nrcc readback gosar publican stefanik savaged shelled palmer mika,worst knew source dark couldn't opinion exact videos killed silence claim com destruction destroy foundation,7.46237280804333,1964
