show_id,episode_id,youknow,lets,VIMP_ACT,VIMP_COMM,VIMP_MENTAL,VIMP_CAUSE,VIMP_OCCUR,VIMP_EXIST,VIMP_ASPECT,VIMP_DOAUX,VIMP_NONE,words
1043245989,009f84ca7bd4ba41,67,0,7,1,2,0,1,0,0,0,4,17499
1043245989,01d7e7ac3b0977a4,19,2,1,1,0,2,0,0,0,0,2,3053
1043245989,01e627cad745443e,54,1,3,3,1,1,0,0,0,0,3,10133
1043245989,04612b83c4bf4e84,136,5,3,3,1,5,0,0,0,1,4,16321
1043245989,05cad18bbb68f62d,1,1,4,0,1,1,0,0,0,0,5,15616
1043245989,05eed67e881e51cf,100,3,5,0,2,4,0,0,0,0,6,14833
1043245989,0661b24319f97448,15,2,6,0,0,2,0,1,0,0,3,17620
1043245989,0790e07d16b92daf,240,5,2,1,1,5,0,1,0,0,1,15568
1043245989,07bf82d338bc3f24,21,5,4,0,0,5,0,0,1,0,6,8560
1043245989,07dc701ceb34f684,149,11,6,0,3,12,0,0,0,0,5,9974
1043245989,08b79ca9672984e8,306,14,5,2,5,14,0,0,0,3,12,24267
1043245989,08e2fe053b1361ca,60,0,4,2,0,0,0,0,0,0,8,9143
1043245989,08ffdf0250b153d4,0,0,0,0,0,0,0,0,0,0,0,12447
1043245989,0a6df9e98aff9d61,31,0,2,0,1,0,0,1,3,0,2,16675
1043245989,0a84e91a8231d7ee,24,7,6,0,1,8,0,1,0,0,6,15175
1043245989,0b19f1f9393ff6f9,113,4,7,2,0,4,0,0,0,1,2,7668
1043245989,0c14bb42d83d8fde,36,2,6,0,4,2,0,0,1,1,6,9518
1043245989,0d1d88c1a0b0eb47,147,5,7,0,0,5,0,0,1,1,6,16301
1043245989,0d806d1b84e90cfb,23,1,1,0,2,1,0,0,0,0,5,6532
1043245989,0e301b1222bc303f,35,3,6,0,2,4,1,0,0,0,5,11201
1043245989,0ef813a1c3f3c57c,4,6,5,1,2,6,1,1,0,1,3,13577
1043245989,0fef9b0c04fdfb0f,105,2,3,0,2,4,0,0,0,0,10,14679
1043245989,107795bfc148a9c7,20,3,2,0,0,3,0,0,0,0,2,6824
1043245989,1285d6333f2a082a,150,1,7,1,2,1,0,0,0,0,7,21570
1043245989,13561e32fe1b38b0,48,3,1,0,1,3,0,0,0,0,1,7627
1043245989,136b22453b5c04ee,49,11,7,2,2,11,0,0,0,1,5,15731
1043245989,137dfdedcc713d41,10,9,5,2,0,9,0,0,0,0,5,16847
1043245989,15439e4e0379cfca,4,1,5,4,0,2,0,0,0,0,2,10310
1043245989,156b93748a9246f9,21,5,6,0,1,5,0,0,0,0,4,12466
1043245989,157d2f36464df67e,103,7,8,1,1,7,0,0,1,0,3,18252
1043245989,15d50a07ead44ee2,18,11,7,0,0,11,0,0,0,2,14,18771
1043245989,15f5921f31c2c8ad,5,3,3,2,0,3,0,0,0,0,6,8639
1043245989,168f7d631fc836ce,12,2,2,5,0,2,0,0,0,0,3,9027
1043245989,1711ee5db850a0df,27,7,7,0,3,7,1,0,1,0,11,15195
1043245989,1732217e05dee60e,145,2,8,5,2,2,2,0,0,0,4,19846
1043245989,17dc9792b3fd552a,73,9,3,2,2,9,1,0,0,0,12,19392
1043245989,184d0e197fef5906,8,1,5,1,0,1,0,0,0,0,3,7315
1043245989,186a776424576699,8,0,2,5,0,0,0,0,0,1,3,4617
1043245989,1a152d60545985f4,77,5,5,2,0,6,0,0,1,2,7,17403
1043245989,1a5d3ee7206ba03c,175,7,11,6,6,7,0,1,0,0,11,20162
1043245989,1ab4839e842b5e5e,123,6,2,0,0,6,0,1,0,0,3,9882
1043245989,1bb3c3b1fe6a4627,86,27,8,4,14,27,1,0,0,4,21,21543
1043245989,1c0e6575bd5be264,14,1,1,0,0,1,0,0,0,0,8,8336
1043245989,1c36c95b7c08e573,42,1,4,0,0,1,0,0,0,0,3,7313
1043245989,1cc5860f13b5b10c,59,1,4,2,2,1,0,0,0,0,7,16586
1043245989,1d78266f1f06e1c5,118,6,6,3,1,6,0,0,0,0,8,14741
1043245989,1e16f54f27212244,140,1,4,2,0,1,0,0,0,0,4,9538
1043245989,1ec4726b4ab6d680,86,21,2,3,1,21,0,1,1,2,4,18634
1043245989,1feb50c87c8160f1,134,14,6,1,5,14,0,0,0,0,4,27529
1043245989,209d5a1ab3f883e4,40,1,3,2,0,1,0,0,0,0,4,6045
1043245989,20d538ecc050c937,18,1,3,8,0,1,0,0,0,0,2,17444
1043245989,21c71dc84d544f35,138,1,5,1,3,1,1,2,0,0,3,23521
1043245989,2236f44c1d858011,1,4,4,6,1,4,0,1,0,1,1,15525
1043245989,239458f0a8315fd6,23,1,4,1,0,1,0,0,0,1,6,8218
1043245989,241d55190444650d,73,7,5,0,2,7,0,0,1,0,3,14644
1043245989,2476a93bda28e9fb,20,1,2,0,1,1,0,0,1,1,5,5200
1043245989,248386d28552cd4b,40,10,3,1,1,11,0,0,0,0,4,11946
1043245989,24d610093d131410,42,7,4,0,1,7,0,1,0,0,4,16932
1043245989,25601381b0297ff3,84,13,1,0,1,13,0,0,0,0,8,15555
1043245989,25697e6377bee04c,6,3,7,0,0,3,1,0,0,0,2,11985
1043245989,2577e130866c6b8a,4,2,2,1,0,2,0,0,0,0,4,7725
1043245989,261aa53094a4bb17,32,1,7,1,0,2,0,0,0,0,1,4615
1043245989,271ccd0ebae367c1,48,4,3,2,3,4,0,0,0,0,1,11979
1043245989,275d4e3b30dd62e3,41,4,5,0,1,4,0,0,0,0,2,13016
1043245989,27b785766e68c3bc,41,1,2,1,0,1,0,0,0,0,4,9109
1043245989,27c39cc650c57234,93,10,4,0,0,10,0,0,0,0,7,12847
1043245989,2863d50fe627809a,92,0,4,6,0,0,0,0,0,0,2,15977
1043245989,28be18e487996b5c,84,3,9,7,2,3,1,0,0,1,8,19095
1043245989,29278347be1b74bd,43,18,5,0,2,18,0,0,0,0,4,15574
1043245989,2933a27b7d1c7cb5,10,13,4,0,1,13,0,0,0,0,8,10501
